H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,確報値,202601,二次調整力1,8
TT,調達区分,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20260101B01,合計（確報値）,約定量合計（電源属地別）[MW],19,34,99,0,71,194.773,61.486,42,58,579.259
20260101B01,合計（確報値）,応札件数（電源属地別）[件],4,2,4,0,1,4,8,4,5,32
20260101B01,合計（確報値）,約定件数（電源属地別）[件],3,2,4,0,1,4,6,3,3,26
20260101B01,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4.82,2.75,1.2,0,0.65,9.65,0.36,7.05,1.12,9.65
20260101B01,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],4.5,2.75,1.12,0,0.65,0.36,0.36,0.45,0.36,0.36
20260101B01,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],4.67,2.75,1.15,0,0.65,6.43,0.36,1.71,0.79,2.99
20260101B01,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4.82,2.75,1.2,0,0.65,9.65,0.36,7.05,1.12,9.65
20260101B01,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],4.5,2.75,1.12,0,0.65,0.36,0.36,0.45,0.36,0.36
20260101B01,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],4.67,2.75,1.15,0,0.65,6.43,0.36,1.71,0.79,2.99
20260101B01,合計（確報値）,約定量合計（TSO別）[MW],19,34,99,0,71,194.773,61.486,42,58,579.259
20260101B01,合計（確報値）,（内訳）自エリアからの約定量[MW],19,34,99,0,71,194.773,61.486,42,58,579.259
20260101B02,システム約定結果,募集量（TSO別）[MW],18,112,42,0,49,132,8,42,153,556
20260101B02,システム約定結果,応札量合計（電源属地別）[MW],120,34,174.737,0,71,257.009,143.574,64,319,1183.32
20260101B02,システム約定結果,落札量合計（電源属地別）[MW],23,34,114.755,0,71,193.743,83.224,51,153,723.722
20260101B02,システム約定結果,応札件数（電源属地別）[件],3,2,5,0,1,4,5,4,5,29
20260101B02,システム約定結果,落札件数（電源属地別）[件],2,2,5,0,1,4,4,4,3,25
20260101B02,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],4.5,2.76,2.08,0,0.77,10.34,1.14,7.3,1.28,10.34
20260101B02,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],4.5,2.76,1.07,0,0.77,0.36,0.36,0.5,0.36,0.36
20260101B02,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],4.5,2.76,1.45,0,0.77,6.86,0.81,1.73,0.56,2.75
20260101B02,システム約定結果,最高落札価格（TSO別）[円/kW・30分],4.5,2.76,2.08,0,0.77,10.34,1.14,7.3,1.28,10.34
20260101B02,システム約定結果,最低落札価格（TSO別）[円/kW・30分],4.5,2.76,1.07,0,0.77,0.36,0.36,0.5,0.36,0.36
20260101B02,システム約定結果,平均落札価格（TSO別）[円/kW・30分],4.5,2.76,1.45,0,0.77,6.86,0.81,1.73,0.56,2.75
20260101B02,システム約定結果,落札量合計（TSO別）[MW],23,34,114.755,0,71,193.743,83.224,51,153,723.722
20260101B02,システム約定結果,（内訳）自エリアからの落札量[MW],23,34,114.755,0,71,193.743,83.224,51,153,723.722
20260101B02,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B02,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B02,合計（確報値）,募集量（TSO別）[MW],18,112,42,0,49,132,8,42,153,556
20260101B02,合計（確報値）,応札量合計（電源属地別）[MW],120,34,174.737,0,71,257.009,143.574,64,319,1183.32
20260101B02,合計（確報値）,約定量合計（電源属地別）[MW],23,34,114.755,0,71,193.743,83.224,36,153,708.722
20260101B02,合計（確報値）,応札件数（電源属地別）[件],3,2,5,0,1,4,5,4,5,29
20260101B02,合計（確報値）,約定件数（電源属地別）[件],2,2,5,0,1,4,4,3,3,24
20260101B02,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],4.5,2.76,2.08,0,0.77,10.34,1.14,7.3,1.28,10.34
20260101B02,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],4.5,2.76,1.07,0,0.77,0.36,0.36,0.5,0.36,0.36
20260101B02,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],4.5,2.76,1.45,0,0.77,6.86,0.81,0.88,0.56,2.73
20260101B02,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],4.5,2.76,2.08,0,0.77,10.34,1.14,7.3,1.28,10.34
20260101B02,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],4.5,2.76,1.07,0,0.77,0.36,0.36,0.5,0.36,0.36
20260101B02,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],4.5,2.76,1.45,0,0.77,6.86,0.81,0.88,0.56,2.73
20260101B02,合計（確報値）,約定量合計（TSO別）[MW],23,34,114.755,0,71,193.743,83.224,36,153,708.722
20260101B02,合計（確報値）,（内訳）自エリアからの約定量[MW],23,34,114.755,0,71,193.743,83.224,36,153,708.722
20260101B03,システム約定結果,募集量（TSO別）[MW],17,165,347,95,64,213,194,66,198,1359
20260101B03,システム約定結果,応札量合計（電源属地別）[MW],133.7,126,328,0,131,395.009,143.574,61,203,1521.283
20260101B03,システム約定結果,落札量合計（電源属地別）[MW],58,126,328,0,107,230.323,143.574,61,203,1256.897
20260101B03,システム約定結果,応札件数（電源属地別）[件],5,3,2,0,2,5,5,3,3,28
20260101B03,システム約定結果,落札件数（電源属地別）[件],3,3,2,0,2,4,5,3,3,25
20260101B03,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],17,2.73,0.9,0,0.38,10.94,1.15,7.64,0.36,17
20260101B03,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],4.49,1.54,0.75,0,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],9.13,1.86,0.81,0,0.37,6.95,0.72,3.64,0.36,2.44
20260101B03,システム約定結果,最高落札価格（TSO別）[円/kW・30分],17,2.73,0.9,0,0.38,10.94,1.15,7.64,0.36,17
20260101B03,システム約定結果,最低落札価格（TSO別）[円/kW・30分],4.49,1.54,0.75,0,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,システム約定結果,平均落札価格（TSO別）[円/kW・30分],9.13,1.86,0.81,0,0.37,6.95,0.72,3.64,0.36,2.44
20260101B03,システム約定結果,落札量合計（TSO別）[MW],58,126,328,0,107,230.323,143.574,61,203,1256.897
20260101B03,システム約定結果,（内訳）自エリアからの落札量[MW],58,126,328,0,107,230.323,143.574,61,203,1256.897
20260101B03,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B03,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B03,合計（確報値）,募集量（TSO別）[MW],17,165,347,95,64,213,194,66,198,1359
20260101B03,合計（確報値）,応札量合計（電源属地別）[MW],133.7,126,328,0,203,395.009,143.574,61,203,1593.283
20260101B03,合計（確報値）,約定量合計（電源属地別）[MW],58,126,328,0,107,230.323,119.73,46,203,1218.053
20260101B03,合計（確報値）,応札件数（電源属地別）[件],5,3,2,0,12,5,5,3,3,38
20260101B03,合計（確報値）,約定件数（電源属地別）[件],3,3,2,0,6,4,4,2,3,27
20260101B03,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],17,2.73,0.9,0,0.38,10.94,1.15,7.64,0.36,17
20260101B03,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],4.49,1.54,0.75,0,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],9.13,1.86,0.81,0,0.37,6.95,0.68,2.88,0.36,2.43
20260101B03,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],17,2.73,0.9,0,0.38,10.94,1.15,7.64,0.36,17
20260101B03,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],4.49,1.54,0.75,0,0.35,0.83,0.36,0.57,0.36,0.35
20260101B03,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],9.13,1.86,0.81,0,0.37,6.95,0.68,2.88,0.36,2.43
20260101B03,合計（確報値）,約定量合計（TSO別）[MW],58,126,328,0,107,230.323,119.73,46,203,1218.053
20260101B03,合計（確報値）,（内訳）自エリアからの約定量[MW],58,126,328,0,107,230.323,119.73,46,203,1218.053
20260101B04,システム約定結果,募集量（TSO別）[MW],17,113,219,68,25,193,95,78,134,942
20260101B04,システム約定結果,応札量合計（電源属地別）[MW],123,92,100,0,140,395.009,126.64,30,203,1209.649
20260101B04,システム約定結果,落札量合計（電源属地別）[MW],53.01,92,100,0,140,257.009,126.64,30,203,1001.659
20260101B04,システム約定結果,応札件数（電源属地別）[件],4,1,1,0,2,5,5,2,3,23
20260101B04,システム約定結果,落札件数（電源属地別）[件],4,1,1,0,2,4,5,2,3,22
20260101B04,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],19.51,2.01,0.51,0,0.35,11.33,0.39,13.13,0.36,19.51
20260101B04,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],5.04,2.01,0.51,0,0.35,0.36,0.36,8.77,0.36,0.35
20260101B04,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],10.47,2.01,0.51,0,0.35,6.25,0.37,10.95,0.36,2.89
20260101B04,システム約定結果,最高落札価格（TSO別）[円/kW・30分],19.51,2.01,0.51,0,0.35,11.33,0.39,13.13,0.36,19.51
20260101B04,システム約定結果,最低落札価格（TSO別）[円/kW・30分],5.04,2.01,0.51,0,0.35,0.36,0.36,8.77,0.36,0.35
20260101B04,システム約定結果,平均落札価格（TSO別）[円/kW・30分],10.47,2.01,0.51,0,0.35,6.25,0.37,10.95,0.36,2.89
20260101B04,システム約定結果,落札量合計（TSO別）[MW],53.01,92,100,0,140,257.009,126.64,30,203,1001.659
20260101B04,システム約定結果,（内訳）自エリアからの落札量[MW],53.01,92,100,0,140,257.009,126.64,30,203,1001.659
20260101B04,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B04,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B04,合計（確報値）,募集量（TSO別）[MW],17,113,219,68,25,193,95,78,134,942
20260101B04,合計（確報値）,応札量合計（電源属地別）[MW],123,92,100,0,278,395.009,126.64,30,203,1347.649
20260101B04,合計（確報値）,約定量合計（電源属地別）[MW],53.01,92,100,0,140,257.009,126.64,15,203,986.659
20260101B04,合計（確報値）,応札件数（電源属地別）[件],4,1,1,0,8,5,5,2,3,29
20260101B04,合計（確報値）,約定件数（電源属地別）[件],4,1,1,0,4,4,5,1,3,23
20260101B04,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],19.51,2.01,0.51,0,0.35,11.33,0.39,8.77,0.36,19.51
20260101B04,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],5.04,2.01,0.51,0,0.35,0.36,0.36,8.77,0.36,0.35
20260101B04,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],10.47,2.01,0.51,0,0.35,6.25,0.37,8.77,0.36,2.73
20260101B04,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],19.51,2.01,0.51,0,0.35,11.33,0.39,8.77,0.36,19.51
20260101B04,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],5.04,2.01,0.51,0,0.35,0.36,0.36,8.77,0.36,0.35
20260101B04,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],10.47,2.01,0.51,0,0.35,6.25,0.37,8.77,0.36,2.73
20260101B04,合計（確報値）,約定量合計（TSO別）[MW],53.01,92,100,0,140,257.009,126.64,15,203,986.659
20260101B04,合計（確報値）,（内訳）自エリアからの約定量[MW],53.01,92,100,0,140,257.009,126.64,15,203,986.659
20260101B05,システム約定結果,募集量（TSO別）[MW],23,0,151,0,46,160,77,82,147,686
20260101B05,システム約定結果,応札量合計（電源属地別）[MW],119,92,0,0,131,395.009,126.64,30,203,1096.649
20260101B05,システム約定結果,落札量合計（電源属地別）[MW],31,92,0,0,131,252.8,119.134,30,203,858.934
20260101B05,システム約定結果,応札件数（電源属地別）[件],3,1,0,0,2,5,5,2,3,21
20260101B05,システム約定結果,落札件数（電源属地別）[件],1,1,0,0,2,4,5,2,3,18
20260101B05,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],5.11,1.82,0,0,0.35,11.33,0.36,11.01,0.36,11.33
20260101B05,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],5.11,1.82,0,0,0.35,0.36,0.36,8.43,0.36,0.35
20260101B05,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],5.11,1.82,0,0,0.35,6.35,0.36,9.72,0.36,2.78
20260101B05,システム約定結果,最高落札価格（TSO別）[円/kW・30分],5.11,1.82,0,0,0.35,11.33,0.36,11.01,0.36,11.33
20260101B05,システム約定結果,最低落札価格（TSO別）[円/kW・30分],5.11,1.82,0,0,0.35,0.36,0.36,8.43,0.36,0.35
20260101B05,システム約定結果,平均落札価格（TSO別）[円/kW・30分],5.11,1.82,0,0,0.35,6.35,0.36,9.72,0.36,2.78
20260101B05,システム約定結果,落札量合計（TSO別）[MW],31,92,0,0,131,252.8,119.134,30,203,858.934
20260101B05,システム約定結果,（内訳）自エリアからの落札量[MW],31,92,0,0,131,252.8,119.134,30,203,858.934
20260101B05,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B05,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B05,合計（確報値）,募集量（TSO別）[MW],23,0,151,0,46,160,77,82,147,686
20260101B05,合計（確報値）,応札量合計（電源属地別）[MW],119,92,0,0,251,395.009,126.64,30,203,1216.649
20260101B05,合計（確報値）,約定量合計（電源属地別）[MW],31,92,0,0,131,252.8,119.134,15,203,843.934
20260101B05,合計（確報値）,応札件数（電源属地別）[件],3,1,0,0,8,5,5,2,3,27
20260101B05,合計（確報値）,約定件数（電源属地別）[件],1,1,0,0,4,4,5,1,3,19
20260101B05,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],5.11,1.82,0,0,0.35,11.33,0.36,8.43,0.36,11.33
20260101B05,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],5.11,1.82,0,0,0.35,0.36,0.36,8.43,0.36,0.35
20260101B05,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],5.11,1.82,0,0,0.35,6.35,0.36,8.43,0.36,2.63
20260101B05,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],5.11,1.82,0,0,0.35,11.33,0.36,8.43,0.36,11.33
20260101B05,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],5.11,1.82,0,0,0.35,0.36,0.36,8.43,0.36,0.35
20260101B05,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],5.11,1.82,0,0,0.35,6.35,0.36,8.43,0.36,2.63
20260101B05,合計（確報値）,約定量合計（TSO別）[MW],31,92,0,0,131,252.8,119.134,15,203,843.934
20260101B05,合計（確報値）,（内訳）自エリアからの約定量[MW],31,92,0,0,131,252.8,119.134,15,203,843.934
20260101B06,システム約定結果,募集量（TSO別）[MW],32,180,318,114,55,163,149,64,118,1193
20260101B06,システム約定結果,応札量合計（電源属地別）[MW],121,143,239,0,71,395.009,143.574,64,203,1379.583
20260101B06,システム約定結果,落札量合計（電源属地別）[MW],32,143,239,0,68,230.323,143.574,64,184,1103.897
20260101B06,システム約定結果,応札件数（電源属地別）[件],4,4,2,0,1,5,5,4,3,28
20260101B06,システム約定結果,落札件数（電源属地別）[件],2,4,2,0,1,4,5,4,3,25
20260101B06,システム約定結果,最高落札価格（電源属地別）[円/kW・30分],10,3.03,0.9,0,0.77,9.35,0.91,6.95,0.36,10
20260101B06,システム約定結果,最低落札価格（電源属地別）[円/kW・30分],3.91,1.72,0.51,0,0.77,0.57,0.36,1.78,0.36,0.36
20260101B06,システム約定結果,平均落札価格（電源属地別）[円/kW・30分],4.1,2.1,0.74,0,0.77,5.89,0.62,3.03,0.36,2.14
20260101B06,システム約定結果,最高落札価格（TSO別）[円/kW・30分],10,3.03,0.9,0,0.77,9.35,0.91,6.95,0.36,10
20260101B06,システム約定結果,最低落札価格（TSO別）[円/kW・30分],3.91,1.72,0.51,0,0.77,0.57,0.36,1.78,0.36,0.36
20260101B06,システム約定結果,平均落札価格（TSO別）[円/kW・30分],4.1,2.1,0.74,0,0.77,5.89,0.62,3.03,0.36,2.14
20260101B06,システム約定結果,落札量合計（TSO別）[MW],32,143,239,0,68,230.323,143.574,64,184,1103.897
20260101B06,システム約定結果,（内訳）自エリアからの落札量[MW],32,143,239,0,68,230.323,143.574,64,184,1103.897
20260101B06,追加調達結果,募集量（TSO別）[MW],-,-,-,-,-,-,-,-,-,-
20260101B06,追加調達結果,応札量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,約定量合計（電源属地別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,応札件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,約定件数（電源属地別）[件],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最高約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最低約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,平均約定価格（電源属地別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最高約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,最低約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,平均約定価格（TSO別）[円/kW・30分],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,約定量合計（TSO別）[MW],0,0,0,0,0,0,0,0,0,0
20260101B06,追加調達結果,（内訳）自エリアからの約定量[MW],0,0,0,0,0,0,0,0,0,0
20260101B06,合計（確報値）,募集量（TSO別）[MW],32,180,318,114,55,163,149,64,118,1193
20260101B06,合計（確報値）,応札量合計（電源属地別）[MW],121,235,239,0,71,395.009,143.574,64,203,1471.583
20260101B06,合計（確報値）,約定量合計（電源属地別）[MW],32,143,239,0,68,230.323,119.73,49,184,1065.053
20260101B06,合計（確報値）,応札件数（電源属地別）[件],4,7,2,0,1,5,5,4,3,31
20260101B06,合計（確報値）,約定件数（電源属地別）[件],2,6,2,0,1,4,4,3,3,25
20260101B06,合計（確報値）,最高約定価格（電源属地別）[円/kW・30分],10,3.03,0.9,0,0.77,9.35,0.91,6.95,0.36,10
20260101B06,合計（確報値）,最低約定価格（電源属地別）[円/kW・30分],3.91,1.72,0.51,0,0.77,0.57,0.36,1.78,0.36,0.36
20260101B06,合計（確報値）,平均約定価格（電源属地別）[円/kW・30分],4.1,2.1,0.74,0,0.77,5.89,0.58,3.36,0.36,2.18
20260101B06,合計（確報値）,最高約定価格（TSO別）[円/kW・30分],10,3.03,0.9,0,0.77,9.35,0.91,6.95,0.36,10
20260101B06,合計（確報値）,最低約定価格（TSO別）[円/kW・30分],3.91,1.72,0.51,0,0.77,0.57,0.36,1.78,0.36,0.36
20260101B06,合計（確報値）,平均約定価格（TSO別）[円/kW・30分],4.1,2.1,0.74,0,0.77,5.89,0.58,3.36,0.36,2.18
20260101B06,合計（確報値）,約定量合計（TSO別）[MW],32,143,239,0,68,230.323,119.73,49,184,1065.053
20260101B06,合計（確報値）,（内訳）自エリアからの約定量[MW],32,143,239,0,68,230.323,119.73,49,184,1065.053
20260101B07,システム約定結果,募集量（TSO別）[MW],19,174,276,72,63,163,171,51,159,1148
20260101B07,システム約定結果,応札量合計（電源属地別）[MW],121,34,442.678,241.952,71,395.009,143.574,79,393,1921.213
20260101B07,システム約定結果,落札量合計（電源属地別）[MW],31,34,306.367,241.952,71,220.465,143.574,50,177.632,1275.99
